Gene names,F1,F2,Category
UBAC2,0.305523554,0.436237335,NA
PRKDC,0.303184509,0.431537628,NA
URB2,0.302475611,0.493426005,NA
SPEN,0.301026026,0.958250682,NA
CDK9,0.300595601,0.523841858,NA
PHF5A,0.298988978,0.47600619,NA
GNB2L1,0.297630946,0.447212219,NA
KIF22,0.297593435,0.672157923,NA
SLC4A1AP,0.297159831,0.283603668,NA
RPL36A;RPL36A-HNRNPH2;RPL36AL,0.296264648,-0.738417943,NA
PBRM1,0.293181737,0.504926682,NA
BUB3,0.292080561,0.718903859,NA
ABCC4,0.291360219,0.743492762,NA
VARS,0.29130427,0.195126216,NA
RAD21,0.289840062,0.483124415,NA
RAB14,0.288616816,0.355667114,NA
NSUN5;NSUN5P2,0.288155238,0.635475159,NA
SCFD1,0.286258062,0.524171829,NA
HSPA5,0.285106023,0.429733276,NA
THOC5,0.282452265,0.637126287,NA
EIF2S3;EIF2S3L,0.279858907,0.611703873,NA
FEN1,0.279219945,0.503794352,NA
PHF6,0.27804629,0.524734497,NA
XRCC5,0.277739207,0.454839706,NA
LARS,0.277369181,0.57006518,NA
ATP13A1,0.276794434,0.281109492,NA
RAB5C,0.276058197,0.342067719,NA
RPRD1B,0.273742676,0.317486445,NA
TPX2,0.272460938,0.477108637,NA
RPS20,0.271849314,0.248339335,NA
ALG6,0.269702276,0.715662003,NA
EPRS,0.268642426,0.349024455,NA
HM13,0.267985662,-0.109720866,NA
ANXA11,0.267845154,0.53006808,NA
POGZ,0.267468135,0.385490417,NA
GPR126,0.26740392,-0.002106349,NA
CUL1,0.267024358,0.646385829,NA
EIF3C;EIF3CL,0.264883677,0.322984695,NA
1-Mar,0.264876048,0.388453166,NA
SEC61A1,0.264329274,0.106818517,NA
CRNKL1,0.264226278,0.953170141,NA
CHD2,0.263441086,0.12456131,NA
RAB8A;RAB8B;RAB13,0.262566884,0.44242541,NA
RPS6,0.262163162,-0.145867666,NA
HSP90AB1,0.261062622,0.391013463,NA
WDR74,0.260641098,0.794665019,NA
TUBB4B;TUBB4A,0.260226568,0.675987879,NA
EMSY;C11orf30,0.259279887,0.803154627,NA
INTS6,0.257294973,1.305179596,NA
MYO6,0.254487991,-0.266871134,NA
RPL10,0.254442215,0.188176473,NA
RPL27A,0.254285812,0.248355865,NA
HELLS,0.253845851,-0.100482305,NA
DAZAP1,0.253266652,0.447503408,NA
PRSS3,0.252027512,1.231903076,NA
RPS8,0.250716527,0.264527003,NA
LRRC47,0.250208537,0.982647578,NA
AP2S1,0.249751409,0.531235377,NA
DNAJA2,0.249048233,0.970251083,NA
PTDSS1,0.248657227,0.194121679,NA
PRCC,0.247089386,0.780364354,NA
MTA2,0.246854782,0.38278834,NA
DHCR24,0.246781031,0.399112066,NA
PDS5A,0.24299113,0.603033702,NA
TBL2,0.238728841,0.070784251,NA
HDAC2,0.238402685,0.47223409,NA
KIF2A,0.237942378,0.726334254,NA
