Gene names,F1,F2,Category
SETX,2.398317973,2.133426666,NA
SEH1L,1.799727758,2.130022049,NA
SUPT20H,3.668385824,2.129895528,NA
PRPF31,3.531953812,2.120542526,NA
SMC1A,2.175816854,2.107345581,NA
ASUN,2.523955663,2.104796092,NA
PRKRA,1.989470164,2.0942173,NA
DNM2,2.637698491,2.08992513,NA
PRCC,1.702273687,2.087509155,NA
PHF14,2.144084295,2.085843404,NA
SKIL,1.689608256,2.085445404,NA
WDR3,2.075414658,2.085423787,NA
TAF15,2.393735886,2.084194183,NA
CCNT1,1.643668493,2.081865311,NA
CCAR1,1.564591726,2.078431447,NA
PYGB,3.941928864,2.075581233,NA
MED13,3.194081624,2.073722204,NA
PHF3,2.39058431,2.069232941,NA
KLF5,2.291008631,2.068388621,NA
SNRNP40,2.418008804,2.061766307,NA
CLPB,2.250893911,2.059832891,NA
CBX3,1.988417308,2.054920197,NA
KAT5,1.516504288,2.053267161,NA
NUP85,2.028523763,2.047671,NA
ZBTB12,2.21326383,2.041115443,NA
PPIL4,-0.579023997,2.029346466,NA
H2AFV;H2AFZ,1.155517578,2.025095622,NA
GTF3C1,2.248243968,2.024863561,NA
HMGB1;HMGB1P1,0.523361206,2.020020803,NA
NCOA5,-0.682271957,2.019450506,NA
EEF2,1.596234004,2.018440882,NA
SLC25A13,1.923822403,2.015616099,NA
TWISTNB,1.789281209,2.012409846,NA
ABCF1,2.897268931,2.010530472,NA
SAMM50,2.286087672,2.007967631,NA
DNMT1,2.312990189,2.006076177,NA
RNH1,1.601439794,2.004241308,NA
TUBB8,0.828836441,2.000697454,NA
AQR,1.736591975,2.000322342,NA
RTCB,2.179795583,1.9979496,NA
C19orf43,1.681734085,1.993510564,NA
YES1,1.693903605,1.990401586,NA
RPS17,0.942063014,1.990311941,NA
KRI1,2.872564316,1.983049393,NA
ACTL6A,2.607328415,1.979213715,NA
BRIX1,1.567324956,1.973053614,NA
PCID2,1.880661647,1.970626831,NA
C5orf24,2.758059184,1.967683156,NA
HNRNPLL;HNRPLL,2.276875178,1.961582184,NA
RPLP1,0.010362625,1.951578776,NA
CSNK2A1;CSNK2A3,1.303851446,1.951559067,NA
UQCRFS1;UQCRFS1P1,0.291802088,1.949450175,NA
ATAD3B,1.930108388,1.94879214,NA
HSPD1,1.763924917,1.942749023,NA
URB2,0.616374969,1.938299179,NA
TAF6,2.148874283,1.935279846,NA
TBL2,2.188957214,1.93358167,NA
S100P,2.457154592,1.926700592,NA
RPL26;RPL26L1,2.19705836,1.926509857,NA
UTP6,1.59168752,1.921300888,NA
CBX1,1.774806976,1.905797958,NA
ALOXE3,2.092144012,1.891699473,NA
MED17,2.418776194,1.891384125,NA
EIF3A,2.023219426,1.883663177,NA
PABPC1,1.273164113,1.877847036,NA
DHX16,1.297225316,1.87686793,NA
REXO2,2.58658282,1.869719823,NA
MDC1,2.056112925,1.868904114,NA
RBPJ,2.623919805,1.860380173,NA
TRIM25,2.095575968,1.859317144,NA
ITPR3,2.251837413,1.858835856,NA
DDX24,1.617013295,1.837559382,NA
SNW1,1.660999298,1.834813436,NA
RFC2,1.70135498,1.827658335,NA
CDK13,1.69408226,1.825692495,NA
L3MBTL3,1.374793371,1.822013219,NA
RAD21,1.430484772,1.820988337,NA
ERCC3,1.531337102,1.820565542,NA
RPS21,1.816510518,1.817646027,NA
TP53BP1,1.480162938,1.813481649,NA
MLLT6,2.271890004,1.808940887,NA
MKRN2,-0.952157338,1.802656809,NA
ZC3HAV1,1.390354792,1.800315221,NA
KPNB1,1.709635417,1.798756282,NA
EIF4A3,1.758995692,1.79726092,NA
AP3M1,1.392155329,1.795110703,NA
POLR1B,1.88510259,1.792117437,NA
C1orf174,1.248847961,1.786958694,NA
NIP7,1.514532089,1.779555003,NA
CPSF6,1.282445908,1.778727214,NA
EIF4E,1.766932805,1.778201421,NA
DNTTIP1,2.709060669,1.778191884,NA
COPA,2.034754435,1.776692708,NA
RBM14,1.467539469,1.766411463,NA
SMARCA1,1.691164653,1.763502757,NA
HDAC1,1.465650558,1.761985779,NA
S100A3,1.005806605,1.761451721,NA
RBM12B,1.648787181,1.757693609,NA
PML,2.729198456,1.757190069,NA
PDHA1,0.917385737,1.75546519,NA
NOL9,1.420734406,1.749349594,NA
DHX8,1.92642657,1.74402682,NA
GPS2,2.556833267,1.743889491,NA
NDUFB10,1.45108668,1.740861257,NA
CASZ1,2.787061056,1.738282522,NA
MYO1B,1.63938268,1.735401789,NA
VCL,2.32535553,1.73494339,NA
CYFIP1,1.250535965,1.733151118,NA
DDX1,1.617310206,1.731160482,NA
DARS,0.520446777,1.730419159,NA
PTBP3,1.366344452,1.728223801,NA
NFIC,2.519629796,1.721497854,NA
XRCC5,1.617233276,1.720118841,NA
NONO,1.70341301,1.71460851,NA
SEC23B,1.491455078,1.711152395,NA
RBM28,2.268875758,1.702455521,NA
DPF3,2.049039841,1.691642761,NA
LCE1C;LCE1B;LCE1E,-0.338629405,1.691500982,NA
RBM10,0.651423772,1.684592565,NA
HEATR1,1.423107147,1.684455872,NA
SUN1,2.146453857,1.680748622,NA
TIAL1,2.702906926,1.679690043,NA
HNRNPH3,1.374675115,1.676120758,NA
EFTUD2,1.363274892,1.674661001,NA
EXOSC3,1.289452871,1.673704147,NA
FASN,2.104821523,1.669718424,NA
TOP2A,1.453139623,1.668961843,NA
TPX2,1.385897319,1.667028427,NA
EIF2AK2,1.910821279,1.662826538,NA
METAP1,0.901707331,1.660692851,NA
RPS24,1.960642497,1.659024556,NA
SEC23A,1.923406601,1.65291659,NA
AIMP2,1.067073822,1.651796341,NA
ACTR3,1.334967931,1.650151571,NA
SLC25A12,2.050275167,1.650060018,NA
SLC25A16,0.907631556,1.649655024,NA
ACTN1,1.331560771,1.646132151,NA
NPM3,1.662914276,1.636690776,NA
ERH,1.316792806,1.634230932,NA
RBM6,1.524182002,1.626308441,NA
FLNC,2.691138585,1.623673757,NA
EP300,1.808352153,1.622390111,NA
RBBP7,2.002610524,1.617193858,NA
LTF,1.817515055,1.614333471,NA
RPL31,1.635499318,1.608076096,NA
PSPC1,0.935230891,1.604780197,NA
SRBD1,1.288232168,1.599762599,NA
RBM4B,2.017967224,1.595289866,NA
PKP3,1.202938716,1.594329834,NA
AP2A1,1.685852687,1.574655533,NA
PHF8,1.914924622,1.56701088,NA
EIF4A1;EIF4A2,1.496378581,1.566651026,NA
EIF3F,1.381648382,1.566509883,NA
GPKOW,0.054089864,1.564925512,NA
EIF3M,2.021753947,1.564474742,NA
GLUL,1.611608505,1.561827342,NA
TRMT10C,0.237618128,1.558636983,NA
DBN1,1.446129481,1.554135005,NA
PSMB1,1.632129033,1.552258809,NA
NOL11,2.140128454,1.546535492,NA
DDX23,1.179246902,1.541652044,NA
TMEM33,1.456128438,1.536002477,NA
KDM1A,1.502782822,1.532253901,NA
AGO2;AGO1;AGO3,2.039908091,1.530163447,NA
FYTTD1,1.551003774,1.526383082,NA
ANXA1,1.471463521,1.517957687,NA
SRSF7,1.527016322,1.514887492,NA
SKIV2L2,0.825603485,1.506738663,NA
CALR,2.043876012,1.504611969,NA
RBBP5,1.824834188,1.498579025,NA
TOMM70A,2.151117325,1.498507182,NA
TUBG1;TUBG2,1.551456451,1.497509638,NA
DDX41,0.388328552,1.497338613,NA
USP10,1.688127518,1.493565241,NA
AP2B1;AP1B1,1.646629969,1.490460078,NA
KHDRBS1,1.236652374,1.490255992,NA
QARS,1.085686366,1.482358932,NA
KPNA1,1.133394241,1.474089305,NA
RRAS2;RRAS,3.391956965,1.473934174,NA
CLTCL1,1.516080221,1.470132192,NA
POP1,0.986934026,1.443485896,NA
IGLL5;IGLC1;IGLC6;IGLC7,1.860454559,1.442462285,NA
RING1,1.546174367,1.438468297,NA
GNB2L1,1.312032064,1.438430786,NA
THOC2,1.746902466,1.435159683,NA
EXOSC4,1.781598409,1.430566152,NA
KIF23,1.846498489,1.427347819,NA
INTS3,1.590693156,1.42638588,NA
DAZAP1,2.000469844,1.421788534,NA
POLR2H,1.576686223,1.416006088,NA
CTCF,2.697145462,1.412361145,NA
NUP88,0.355454127,1.409936905,NA
EIF6,1.383243561,1.408472697,NA
TARDBP;TDP43,1.334527969,1.406080246,NA
PHC3,2.177744548,1.402308146,NA
PHF6,2.908960342,1.399768829,NA
LIN9,1.211692174,1.395895004,NA
MMTAG2,1.081062317,1.39427503,NA
YWHAZ,1.564175288,1.393513997,NA
MAGOHB;MAGOH,2.079434713,1.388212204,NA
DDX54,1.023681641,1.3875103,NA
TOX4,1.34879748,1.383492152,NA
DRG1,1.176883698,1.383352915,NA
TAGLN2,2.329696655,1.381878535,NA
PPHLN1,2.268901189,1.381825765,NA
HNRNPA1;HNRNPA1L2,1.06582133,1.380645116,NA
C19orf52,0.986447652,1.377957026,NA
NR2F1;NR2F2,2.024122874,1.375735601,NA
TEX10,0.917781194,1.374003728,NA
VPS35,1.23582077,1.37136968,NA
SCAF11,1.089490891,1.371136347,NA
MYO5A;MYO5C;MYO5B,2.219888687,1.369790395,NA
2-Sep,1.445373535,1.360442479,NA
DIDO1,1.293743769,1.358062744,NA
CHAMP1,2.092719396,1.355332692,NA
FARSB,1.550170898,1.351383845,NA
SMARCA2,3.667051951,1.350613912,NA
RALY,1.447478612,1.349515279,NA
DDX18,1.385323207,1.348262151,NA
EIF3D,1.328837713,1.346161524,NA
CTTN,2.461935043,1.344518661,NA
RPS13,2.798410416,1.343607585,NA
ELAVL1,1.212181727,1.339120865,NA
SP2,1.14064153,1.334379832,NA
ACTA1;ACTC1;ACTG2;ACTA2,2.510456721,1.329907735,NA
CSNK1A1,1.481103261,1.327353795,NA
BOP1,1.393372854,1.323598862,NA
RECQL,0.982287089,1.321163177,NA
RAN,1.189657847,1.321151733,NA
KRTAP10-9;KRTAP10-3;KRTAP10-5;KRTAP10-1;KRTAP10-11;KRTAP10-7,3.70382309,1.318498611,NA
KLF4,2.008272807,1.312740326,NA
ALDH18A1,1.069647471,1.309473674,NA
